Weather_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Butaritari,KI,3.0707,172.7902,27.39,73,91,6.01,overcast clouds
80,Ancud,CL,-41.8697,-73.8203,10.68,82,84,4.54,light rain
81,Esperance,AU,-33.8667,121.9,13.34,90,8,5.95,clear sky
82,Bluff,NZ,-46.6,168.3333,5.94,59,95,11.46,overcast clouds
83,Tuatapere,NZ,-46.1333,167.6833,2.58,82,96,5.97,light rain
84,Sao Filipe,CV,14.8961,-24.4956,26.51,74,94,2.29,light rain
85,Bethel,US,41.3712,-73.414,12.2,86,100,3.09,light rain
86,Rio Grande,BR,-32.035,-52.0986,23.06,64,61,4.28,broken clouds
87,Bobrovka,RU,54.047,61.7455,8.14,28,7,3.43,clear sky
88,Vila Franca Do Campo,PT,37.7167,-25.4333,24.23,78,33,3.65,light rain
89,Yellowknife,CA,62.456,-114.3525,0.87,74,98,7.15,overcast clouds
90,Bardsir,IR,29.9227,56.5743,20.7,21,72,3.33,broken clouds
91,Sambava,MG,-14.2667,50.1667,21.6,85,13,4.76,few clouds
92,Chuy,UY,-33.6971,-53.4616,18.06,56,79,3.89,broken clouds
93,Lewisville,US,33.0462,-96.9942,28.62,41,0,2.57,clear sky
94,Ishim,RU,56.1128,69.4902,5.93,80,99,3.65,overcast clouds
95,Kawalu,ID,-7.3817,108.2082,21.67,98,98,0.31,overcast clouds
96,Hilo,US,19.7297,-155.09,26.82,85,20,2.57,few clouds
97,Dikson,RU,73.5069,80.5464,0.89,94,100,9.8,overcast clouds
98,Chumikan,RU,54.7183,135.315,0.01,51,41,5.47,scattered clouds
99,Upernavik,GL,72.7868,-56.1549,-3.46,79,100,1.63,overcast clouds
100,Atuona,PF,-9.8,-139.0333,24.69,72,13,10.03,few clouds
101,Los Llanos De Aridane,ES,28.6585,-17.9182,24.86,54,82,2.57,broken clouds
102,Sao Joao Da Barra,BR,-21.6403,-41.0511,27.05,85,100,3.74,overcast clouds
103,Castro,BR,-24.7911,-50.0119,22.0,57,77,2.87,broken clouds
104,Brae,GB,60.3964,-1.353,11.1,76,46,9.33,scattered clouds
105,Puerto Ayora,EC,-0.7393,-90.3518,24.98,87,84,4.47,broken clouds
106,Henties Bay,NA,-22.116,14.2845,13.53,87,3,4.66,clear sky
107,Rocha,UY,-34.4833,-54.3333,19.05,52,17,4.63,few clouds
108,Hobart,AU,-42.8794,147.3294,6.14,87,40,4.63,scattered clouds
109,Erenhot,CN,43.6475,111.9767,1.83,20,0,1.51,clear sky
110,Alta Floresta,BR,-9.8756,-56.0861,34.53,34,49,1.44,scattered clouds
111,Trat,TH,12.5,102.5,27.15,93,80,1.75,broken clouds
112,Bengkulu,ID,-3.8004,102.2655,23.99,90,100,1.61,moderate rain
113,Tuktoyaktuk,CA,69.4541,-133.0374,-1.0,86,75,7.2,broken clouds
114,Gigmoto,PH,13.7796,124.39,26.8,86,51,1.63,broken clouds
115,Abilene,US,32.4487,-99.7331,28.43,29,0,5.14,clear sky
116,Eureka,US,40.8021,-124.1637,14.4,78,96,0.89,overcast clouds
117,Bonito,BR,-21.1211,-56.4819,33.23,32,2,2.37,clear sky
118,Kemlya,RU,54.6963,45.2424,12.88,58,97,6.81,light rain
119,Russell,US,32.3502,-85.1999,24.1,46,0,0.0,clear sky
120,Rio Rancho,US,35.2334,-106.6645,17.26,74,100,2.06,overcast clouds
121,Iqaluit,CA,63.7506,-68.5145,2.61,93,100,1.34,overcast clouds
122,Port-Gentil,GA,-0.7193,8.7815,26.98,78,40,6.17,scattered clouds
123,Nautla,MX,20.2167,-96.7833,26.74,68,89,4.08,overcast clouds
124,Bredasdorp,ZA,-34.5322,20.0403,12.45,67,0,2.95,clear sky
125,Dwarka,IN,22.2394,68.9678,27.84,69,42,4.36,scattered clouds
126,Kruisfontein,ZA,-34.0033,24.7314,13.39,75,20,1.84,few clouds
127,Srednekolymsk,RU,67.45,153.6833,-7.55,87,18,3.17,few clouds
128,Marrakesh,MA,31.6315,-8.0083,33.04,18,73,1.03,broken clouds
129,Westport,US,41.1415,-73.3579,13.02,91,100,7.72,light rain
130,Port Elizabeth,ZA,-33.918,25.5701,16.29,77,17,0.45,few clouds
131,Prenzlau,DE,53.3167,13.8667,14.84,77,82,3.2,broken clouds
132,Sioux Lookout,CA,50.1001,-91.917,14.85,68,100,2.52,overcast clouds
133,Koutiala,ML,12.3917,-5.4642,32.4,56,64,2.82,broken clouds
134,Alice Springs,AU,-23.7,133.8833,16.75,77,40,3.09,scattered clouds
135,Ilulissat,GL,69.2167,-51.1,0.01,64,20,3.6,few clouds
136,Burdur,TR,37.7203,30.2908,18.39,34,75,5.14,broken clouds
137,Lompoc,US,34.6391,-120.4579,20.34,100,100,2.06,mist
138,Plettenberg Bay,ZA,-34.0527,23.3716,14.22,71,23,2.06,few clouds
139,Vardo,NO,70.3705,31.1107,6.99,70,100,5.14,overcast clouds
140,Vite,IN,17.2833,74.55,23.72,67,100,2.82,overcast clouds
141,Nome,US,64.5011,-165.4064,7.04,93,100,0.0,light rain
